iter	Logloss
0	0.6892020675
1	0.6850743935
2	0.6800097794
3	0.6755055672
4	0.6707619854
5	0.6673202816
6	0.6635886505
7	0.6593127563
8	0.6546833763
9	0.6501969289
10	0.6464324149
11	0.6423689499
12	0.638970186
13	0.6353328203
14	0.6310461758
15	0.6276939833
16	0.6233870196
17	0.6203455496
18	0.6164070477
19	0.6130042341
20	0.6089722855
21	0.6046291236
22	0.600639873
23	0.5967807113
24	0.5936668044
25	0.5911220746
26	0.5879106945
27	0.5848718779
28	0.5806161684
29	0.5768520369
30	0.5730576379
31	0.5706213991
32	0.5673827598
33	0.5633559995
34	0.5599931245
35	0.5570057969
36	0.5538133991
37	0.5515110956
38	0.5490247428
39	0.5465011675
40	0.5439626161
41	0.5411691425
42	0.5380244859
43	0.5347519917
44	0.5307872107
45	0.5282185145
46	0.5260397196
47	0.5236629672
48	0.5210821089
49	0.5182686647
50	0.5150575128
51	0.5124968138
52	0.510370172
53	0.5084198095
54	0.5063574916
55	0.5035539404
56	0.5008137958
57	0.4980725794
58	0.4951937644
59	0.4930629686
60	0.4914540973
61	0.4900992984
62	0.4870247346
63	0.4850823892
64	0.4838030566
65	0.481404164
66	0.4796508021
67	0.4769784418
68	0.4747749445
69	0.472550146
70	0.4709922636
71	0.468774411
72	0.4664972021
73	0.4647552837
74	0.4628902361
75	0.4608079717
76	0.4581283051
77	0.4561641576
78	0.4542414109
79	0.4521407894
80	0.4501109403
81	0.4485319114
82	0.4467493831
83	0.4451447297
84	0.4434287004
85	0.4415452274
86	0.4399093013
87	0.4375882377
88	0.4360670401
89	0.4345144308
90	0.4326863349
91	0.4300964639
92	0.4280441456
93	0.4268022732
94	0.4253922011
95	0.4235941509
96	0.422078582
97	0.4206448664
98	0.4185678948
99	0.4172148564
100	0.4159834426
101	0.4143862499
102	0.4129149716
103	0.4112308001
104	0.4097707587
105	0.4087499257
106	0.4062719329
107	0.4046313186
108	0.4027602813
109	0.4011464009
110	0.3996219624
111	0.3976992308
112	0.3957891206
113	0.3942535141
114	0.3926920102
115	0.391198091
116	0.3894198666
117	0.3881026957
118	0.3861642422
119	0.3850035706
120	0.3837326988
121	0.3819700345
122	0.3799560364
123	0.3788969075
124	0.3777027668
125	0.3765756622
126	0.3752285566
127	0.3742477531
128	0.3732530293
129	0.3722000133
130	0.3709064508
131	0.3694432356
132	0.3680773814
133	0.3663963654
134	0.3654454642
135	0.3644809973
136	0.3632134435
137	0.3623321655
138	0.3609182719
139	0.3596762669
140	0.3588636435
141	0.3576243583
142	0.3558238728
143	0.3547122808
144	0.3538318886
145	0.3526786972
146	0.3519713829
147	0.351057338
148	0.3499440776
149	0.348705748
150	0.3480066404
151	0.347110297
152	0.3464469764
153	0.3447050493
154	0.3441049149
155	0.343114542
156	0.3423788177
